 
 Start
Turn the potentiometer clockwise to increase the steering gain from 0 to 10.2.
Press # when you are finished. 
                               Start
Turn the potentiometer clockwise to increase the steering gain from 0 to 10.2.
Press # when you are finished.#
Your gain is 1.9
Select a desired heading (0 to 3599) by inputing 5 digits. Lead with a 0. Press # to confirm.
027#
You selected 2700 as your heading
Select an initial speed (2765 to 3502) by inputing 5 digits. Lead with a 0. Press # to confirm.
031#
You selected 3100 as your speed
4,-180,2549,187
8,-199,2512,136
12,-203,2505,158
16,-182,2545,175
20,-163,2582,137
24,-161,2585,163
28,-167,2574,100
32,-165,2578,153
36,-143,2620,142
40,-71,2758,138
44,21,2935,130
48,137,3158,123
52,205,3245,126
56,232,3245,102
60,212,3245,100
64,153,3188,100
68,95,3077,98
72,8,2910,95
76,-37,2823,93
80,-64,2772,88
84,-63,2774,82
88,-31,2835,76
92,25,2943,71
96,77,3042,65
100,108,3102,58
104,116,3117,55
108,112,3110,51
112,94,3075,47
116,45,2981,45
120,-26,2845,42Press 4 for left or 6 for right.
Press space to return to normal path.

124,-93,2770,40
128,-87,2770,40
132,-89,2770,40
136,-87,2770,40
140,-90,2770,40
144,-89,2770,40
148,-86,2770,40
152,-85,2770,40
156,-84,2770,40
160,-87,2770,40
164,-91,2770,40
168,-88,2770,404
172,-91,2425,71
176,-101,2425,65
180,-96,2425,68
184,-87,2425,79 
188,-84,2733,77
192,-124,2656,74
196,-172,2564,80
200,-190,2530,72
204,-189,2532,85
208,-189,2532,85
212,-206,2499,93
216,-221,2470,96
220,-218,2476,100
224,-192,2526,174
228,-146,2614,174
232,-73,2754,170
236,-2,2891,192
240,38,2967,179
244,27,2946,172
248,-11,2873,95
252,-68,2764,118
256,-85,2731,224
260,-62,2775,261
264,2,2898,121
268,58,3006,246
272,113,3111,243
276,151,3184,125
280,160,3202,91
284,135,3154,49
288,76,3040,45
292,14,2921,31
296,-38,2822,26
300,-41,2822,25
304,-39,2822,9
